iter	Passed	Remaining
0	0	26
1	1	22
2	1	19
3	1	18
4	2	17
5	2	16
6	2	16
7	3	15
8	3	15
9	4	15
10	4	15
11	5	14
12	5	14
13	6	13
14	6	13
15	7	13
16	7	12
17	8	12
18	8	11
19	8	11
20	9	10
21	9	10
22	10	9
23	10	9
24	10	8
25	11	8
26	11	7
27	12	7
28	13	7
29	15	7
30	16	7
31	16	6
32	18	6
33	19	6
34	20	5
35	21	5
36	21	4
37	22	4
38	23	3
39	24	3
40	26	2
41	26	1
42	27	1
43	28	0
44	28	0
